(1, 6, 1, 270, 1.214075557880501, 17.65728641693344)
(1, 6, -1, 270, 1.2140755578804951, 17.657286416934166)
(1, 6, -1, 90, -0.741542374250963, 287.20722844393333)
(1, 3, 1, 90, 0.041947046797419986, 171.4939181429083)
(6, 1, -1, 0, 0.5244418576276937, 97.27322123644834)
(2, 0, 1, 90, 0.40792221424231034, 104.03672841797363)
(2, 1, -1, 270, 0.3726626350267571, 108.31626550663576)
(1, 0, -1, 270, 0.24167975177086146, 124.64905772139134)
(3, 0, -1, 270, 0.4187427857317936, 98.26639968612626)
(4, 1, -1, 270, 0.6961270134812304, 57.33222702224617)
(3, 4, 1, 270, -0.03721951894328629, 160.8911805817597)
(7, 5, -1, 0, -0.09123646929369339, 163.42440496759184)
(6, 4, 1, 0, -0.6964769500361545, 198.61589761343046)
(0, 7, 1, 0, 0.3442685253455382, 102.5413633002995)
(0, 1, 1, 90, -0.7299169029906231, 289.7720615527774)
(1, 1, -1, 0, -0.8585763501382943, 310.62558446855854)
(2, 1, 1, 270, 1.638013522542233, -84.5638781291891)
(2, 1, -1, 270, 1.638013522542214, -84.56387812918595)
(3, 7, -1, 90, -0.315208958256047, 215.13903955694886)
(3, 7, -1, 270, 0.21613489479744974, 149.6331904867597)
(4, 4, -1, 0, -0.13989713411250235, 179.80280409893228)
(0, 2, 1, 0, 0.7446934589379306, 41.164449593558)
(0, 1, -1, 90, -0.41041363500736744, 240.0174479379461)
(3, 7, 1, 0, 0.21073547087663608, 140.39864494190348)
(0, 2, 1, 0, 0.7726768729782213, 28.58168914596971)
(1, 1, 1, 0, 0.8489397835896968, 11.88081526881417)
(1, 2, -1, 270, 0.5732736320323585, 59.29906845492758)
(6, 4, 1, 0, -1.3409202165723781, 228.14795456135653)
(0, 5, -1, 90, 1.1265613659724532, -26.48738570903785)
(2, 7, -1, 0, -0.5536652902599016, 221.1417415593885)
(4, 7, -1, 180, 0.41014268767389084, 111.75166786342561)
(0, 7, 1, 180, -0.4480496681894676, 226.07857133322258)
(0, 4, 1, 90, -0.82287942828906, 309.88477138198925)
(0, 4, -1, 90, -0.8228794282890669, 309.88477138199033)
(0, 3, 1, 180, -0.8572514839828116, 317.2430231345992)
(1, 1, -1, 270, 0.7189868504051629, 48.2634740131739)
(1, 7, -1, 0, -0.4568575072656952, 232.51313605031453)
(1, 2, -1, 270, 0.13311574708022064, 142.24380310862668)
(7, 7, 1, 90, 0.9878527971105443, 89.03098612990925)
(3, 4, 1, 0, -0.2614679265912035, 221.0789983943075)
(6, 7, -1, 90, -4.885654248238945, 559.9383594416017)
(3, 3, 1, 90, 0.18736857155097586, 114.8000489572882)
(4, 6, -1, 270, 0.7109067148622011, 67.35206943811934)
(3, 6, 1, 270, 0.37353421462669983, 98.49296120084644)
